productname	formulation	route	drugsubstance	strength	database	productcode
Venlaneo XL 150mg capsules	Modified-release capsule	Oral	Venlafaxine hydrochloride	150.000mg	Aurum	6029641000033116
Depefex XL 150mg capsules	Modified-release capsule	Oral	Venlafaxine hydrochloride	150.000mg	Aurum	5896441000033118
Foraven XL 150mg capsules	Modified-release capsule	Oral	Venlafaxine hydrochloride	150.000mg	Aurum	5234141000033115
Rodomel XL 150mg capsules	Modified-release capsule	Oral	Venlafaxine hydrochloride	150.000mg	Aurum	4817341000033115
Venaxx XL 150mg capsules	Modified-release capsule	Oral	Venlafaxine hydrochloride	150.000mg	Aurum	4936741000033119
Politid XL 150mg capsules	Modified-release capsule	Oral	Venlafaxine hydrochloride	150.000mg	Aurum	4957941000033115
Vaxalin XL 150mg capsules	Modified-release capsule	Oral	Venlafaxine hydrochloride	150.000mg	Aurum	4937141000033116
Tardcaps XL 150mg capsules	Modified-release capsule	Oral	Venlafaxine hydrochloride	150.000mg	Aurum	4897241000033112
Trixat XL 150mg capsules	Modified-release capsule	Oral	Venlafaxine hydrochloride	150.000mg	Aurum	4818541000033111
Winfex XL 150mg capsules	Modified-release capsule	Oral	Venlafaxine hydrochloride	150.000mg	Aurum	4824541000033112
Tifaxin XL 150mg capsules	Modified-release capsule	Oral	Venlafaxine hydrochloride	150.000mg	Aurum	4817641000033111
Vensir XL 150mg capsules	Modified-release capsule	Oral	Venlafaxine hydrochloride	150.000mg	Aurum	4899641000033119
Vexarin XL 150mg capsules	Modified-release capsule	Oral	Venlafaxine hydrochloride	150.000mg	Aurum	4896741000033115
Venlafaxine 150mg modified-release capsules	Modified-release capsule	Oral	Venlafaxine hydrochloride	150.000mg	Aurum	1509241000033110
Efexor XL 150mg capsules	Modified-release capsule	Oral	Venlafaxine hydrochloride	150.000mg	Aurum	498541000033113
Venlafaxine 37.5mg/5ml oral suspension	Oral suspension	Oral	Venlafaxine hydrochloride	7.500mg/1.000ml	Aurum	4498541000033116
Venlafaxine 37.5mg/5ml oral solution	Oral solution	Oral	Venlafaxine hydrochloride	7.500mg/1.000ml	Aurum	6000441000033115
Venlafaxine 75mg/5ml oral solution	Oral solution	Oral	Venlafaxine hydrochloride	15.000mg/1.000ml	Aurum	5008041000033112
Venlafaxine 75mg/5ml oral suspension	Oral suspension	Oral	Venlafaxine hydrochloride	15.000mg/1.000ml	Aurum	8867941000033118
Sunveniz XL 150mg tablets	Modified-release tablet	Oral	Venlafaxine hydrochloride	150.000mg	Aurum	8298641000033115
Venladex XL 150mg tablets	Modified-release tablet	Oral	Venlafaxine hydrochloride	150.000mg	Aurum	12605441000033117
Venlafaxine 150mg modified-release tablets	Modified-release tablet	Oral	Venlafaxine hydrochloride	150.000mg	Aurum	4823641000033111
ViePax XL 150mg tablets	Modified-release tablet	Oral	Venlafaxine hydrochloride	150.000mg	Aurum	4823841000033112
Venlalic XL 150mg tablets	Modified-release tablet	Oral	Venlafaxine hydrochloride	150.000mg	Aurum	5052941000033116
Venladex XL 75mg tablets	Modified-release tablet	Oral	Venlafaxine hydrochloride	75.000mg	Aurum	12605341000033111
Sunveniz XL 75mg tablets	Modified-release tablet	Oral	Venlafaxine hydrochloride	75.000mg	Aurum	8298741000033112
Venlalic XL 75mg tablets	Modified-release tablet	Oral	Venlafaxine hydrochloride	75.000mg	Aurum	5053041000033114
Venlafaxine 75mg modified-release tablets	Modified-release tablet	Oral	Venlafaxine hydrochloride	75.000mg	Aurum	4823541000033110
ViePax XL 75mg tablets	Modified-release tablet	Oral	Venlafaxine hydrochloride	75.000mg	Aurum	4823741000033119
Venladex XL 225mg tablets	Modified-release tablet	Oral	Venlafaxine hydrochloride	225.000mg	Aurum	12605541000033116
Venlalic XL 225mg tablets	Modified-release tablet	Oral	Venlafaxine hydrochloride	225.000mg	Aurum	5052841000033112
Venlafaxine 225mg modified-release tablets	Modified-release tablet	Oral	Venlafaxine hydrochloride	225.000mg	Aurum	5052741000033119
Venlalic XL 37.5mg tablets	Modified-release tablet	Oral	Venlafaxine hydrochloride	37.500mg	Aurum	6161841000033118
Venlafaxine 37.5mg modified-release tablets	Modified-release tablet	Oral	Venlafaxine hydrochloride	37.500mg	Aurum	6161741000033111
Venlafaxine 37.5mg modified-release capsules	Modified-release capsule	Oral	Venlafaxine hydrochloride	37.500mg	Aurum	8885441000033118
Venlablue XL 37.5mg capsules	Modified-release capsule	Oral	Venlafaxine hydrochloride	37.500mg	Aurum	8885541000033117
Vencarm XL 37.5mg capsules	Modified-release capsule	Oral	Venlafaxine hydrochloride	37.500mg	Aurum	12194741000033114
Venlafaxine 225mg modified-release capsules	Modified-release capsule	Oral	Venlafaxine hydrochloride	225.000mg	Aurum	10730041000033110
Efexor XL 225mg capsules	Modified-release capsule	Oral	Venlafaxine hydrochloride	225.000mg	Aurum	10730141000033114
Vensir XL 225mg capsules	Modified-release capsule	Oral	Venlafaxine hydrochloride	225.000mg	Aurum	11693641000033117
Vencarm XL 225mg capsules	Modified-release capsule	Oral	Venlafaxine hydrochloride	225.000mg	Aurum	12194641000033117
Venlafaxine 37.5mg tablets	Tablet	Oral	Venlafaxine hydrochloride	37.5mg	Gold	301
Venlafaxine 75mg modified-release capsules	Modified-release capsule	Oral	Venlafaxine hydrochloride	75mg	Gold	470
Efexor 37.5mg tablets (Wyeth Pharmaceuticals)	Tablet	Oral	Venlafaxine hydrochloride	37.5mg	Gold	623
Venlafaxine 75mg tablets	Tablet	Oral	Venlafaxine hydrochloride	75mg	Gold	1222
Efexor XL 75mg capsules (Pfizer Ltd)	Modified-release capsule	Oral	Venlafaxine hydrochloride	75mg	Gold	1474
Venlafaxine 50mg tablets	Tablet	Oral	Venlafaxine hydrochloride	50mg	Gold	2617
Venlafaxine 150mg modified-release capsules	Modified-release capsule	Oral	Venlafaxine hydrochloride	150mg	Gold	2654
Efexor XL 150mg capsules (Pfizer Ltd)	Modified-release capsule	Oral	Venlafaxine hydrochloride	150mg	Gold	5710
Efexor 50mg tablets (Wyeth Pharmaceuticals)	Tablet	Oral	Venlafaxine hydrochloride	50mg	Gold	6274
Efexor 75mg tablets (Wyeth Pharmaceuticals)	Tablet	Oral	Venlafaxine hydrochloride	75mg	Gold	9182
Venlafaxine 37.5mg/5ml oral suspension	Oral suspension	Oral	Venlafaxine hydrochloride	7.5mg/1ml	Gold	13237
Venlafaxine 75mg modified-release tablets	Modified-release tablet	Oral	Venlafaxine hydrochloride	75mg	Gold	39359
Venlafaxine 150mg modified-release tablets	Modified-release tablet	Oral	Venlafaxine hydrochloride	150mg	Gold	39360
Tifaxin XL 75mg capsules (Genus Pharmaceuticals Ltd)	Modified-release capsule	Oral	Venlafaxine hydrochloride	75mg	Gold	39770
Tifaxin XL 150mg capsules (Genus Pharmaceuticals Ltd)	Modified-release capsule	Oral	Venlafaxine hydrochloride	150mg	Gold	39809
ViePax XL 75mg tablets (Dexcel-Pharma Ltd)	Modified-release tablet	Oral	Venlafaxine hydrochloride	75mg	Gold	40048
ViePax XL 150mg tablets (Dexcel-Pharma Ltd)	Modified-release tablet	Oral	Venlafaxine hydrochloride	150mg	Gold	40049
Venlafaxine 225mg modified-release tablets	Modified-release tablet	Oral	Venlafaxine hydrochloride	225mg	Gold	40054
Venlalic XL 75mg tablets (Ethypharm UK Ltd)	Modified-release tablet	Oral	Venlafaxine hydrochloride	75mg	Gold	40059
Venlalic XL 150mg tablets (Ethypharm UK Ltd)	Modified-release tablet	Oral	Venlafaxine hydrochloride	150mg	Gold	40062
Vensir XL 150mg capsules (Morningside Healthcare Ltd)	Modified-release capsule	Oral	Venlafaxine hydrochloride	150mg	Gold	40092
Vensir XL 75mg capsules (Morningside Healthcare Ltd)	Modified-release capsule	Oral	Venlafaxine hydrochloride	75mg	Gold	40277
Venlalic XL 225mg tablets (Ethypharm UK Ltd)	Modified-release tablet	Oral	Venlafaxine hydrochloride	225mg	Gold	40407
Venaxx XL 150mg capsules (AMCo)	Modified-release capsule	Oral	Venlafaxine hydrochloride	150mg	Gold	40514
Venaxx XL 75mg capsules (AMCo)	Modified-release capsule	Oral	Venlafaxine hydrochloride	75mg	Gold	40515
Vexarin XL 150mg capsules (Mylan)	Modified-release capsule	Oral	Venlafaxine hydrochloride	150mg	Gold	40517
ViePax 37.5mg tablets (Dexcel-Pharma Ltd)	Tablet	Oral	Venlafaxine hydrochloride	37.5mg	Gold	40764
Tardcaps XL 75mg capsules (IXL Pharma Ltd)	Modified-release capsule	Oral	Venlafaxine hydrochloride	75mg	Gold	40815
Tardcaps XL 150mg capsules (IXL Pharma Ltd)	Modified-release capsule	Oral	Venlafaxine hydrochloride	150mg	Gold	40817
ViePax 75mg tablets (Dexcel-Pharma Ltd)	Tablet	Oral	Venlafaxine hydrochloride	75mg	Gold	40917
Rodomel XL 75mg capsules (Teva UK Ltd)	Modified-release capsule	Oral	Venlafaxine hydrochloride	75mg	Gold	41033
Politid XL 75mg capsules (Actavis UK Ltd)	Modified-release capsule	Oral	Venlafaxine hydrochloride	75mg	Gold	41299
Rodomel XL 150mg capsules (Teva UK Ltd)	Modified-release capsule	Oral	Venlafaxine hydrochloride	150mg	Gold	41314
Vexarin XL 75mg capsules (Mylan)	Modified-release capsule	Oral	Venlafaxine hydrochloride	75mg	Gold	42600
Venlafaxine 75mg modified-release capsules (Sandoz Ltd)	Modified-release capsule	Oral	Venlafaxine hydrochloride	75mg	Gold	43203
Venlafaxine 150mg modified-release capsules (Sandoz Ltd)	Modified-release capsule	Oral	Venlafaxine hydrochloride	150mg	Gold	43334
Politid XL 150mg capsules (Actavis UK Ltd)	Modified-release capsule	Oral	Venlafaxine hydrochloride	150mg	Gold	43673
Foraven XL 75mg capsules (Forum Products Ltd)	Modified-release capsule	Oral	Venlafaxine hydrochloride	75mg	Gold	43968
Venlaneo XL 150mg capsules (Kent Pharmaceuticals Ltd)	Modified-release capsule	Oral	Venlafaxine hydrochloride	150mg	Gold	44936
Venlaneo XL 75mg capsules (Kent Pharmaceuticals Ltd)	Modified-release capsule	Oral	Venlafaxine hydrochloride	75mg	Gold	44937
Depefex XL 150mg capsules (Chiesi Ltd)	Modified-release capsule	Oral	Venlafaxine hydrochloride	150mg	Gold	45664
Venlafaxine 37.5mg modified-release tablets	Modified-release tablet	Oral	Venlafaxine hydrochloride	37.5mg	Gold	45806
Venlalic XL 37.5mg tablets (Ethypharm UK Ltd)	Modified-release tablet	Oral	Venlafaxine hydrochloride	37.5mg	Gold	45818
Depefex XL 75mg capsules (Chiesi Ltd)	Modified-release capsule	Oral	Venlafaxine hydrochloride	75mg	Gold	45959
Ranfaxine XL 75mg capsules (Ranbaxy (UK) Ltd)	Modified-release capsule	Oral	Venlafaxine hydrochloride	75mg	Gold	48199
Venlablue XL 75mg capsules (Creo Pharma Ltd)	Modified-release capsule	Oral	Venlafaxine hydrochloride	75mg	Gold	49511
Venlablue XL 150mg capsules (Creo Pharma Ltd)	Modified-release capsule	Oral	Venlafaxine hydrochloride	150mg	Gold	50081
Venlafaxine 150mg/5ml oral solution	Oral solution	Oral	Venlafaxine hydrochloride	30mg/1ml	Gold	50934
Efexor XL 150mg capsules (Waymade Healthcare Plc)	Modified-release capsule	Oral	Venlafaxine hydrochloride	150mg	Gold	51280
Venlafaxine 37.5mg tablets (Ranbaxy (UK) Ltd)	Tablet	Oral	Venlafaxine hydrochloride	37.5mg	Gold	51361
Venlafaxine 37.5mg/5ml oral solution	Oral solution	Oral	Venlafaxine hydrochloride	7.5mg/1ml	Gold	51699
Alventa XL 75mg capsules (Consilient Health Ltd)	Modified-release capsule	Oral	Venlafaxine hydrochloride	75mg	Gold	52074
Alventa XL 150mg capsules (Consilient Health Ltd)	Modified-release capsule	Oral	Venlafaxine hydrochloride	150mg	Gold	52516
Tonpular XL 75mg capsules (Wockhardt UK Ltd)	Modified-release capsule	Oral	Venlafaxine hydrochloride	75mg	Gold	52716
Venlafaxine 75mg/5ml oral solution	Oral solution	Oral	Venlafaxine hydrochloride	15mg/1ml	Gold	53326
Venlafaxine			Venlafaxine Hydrochloride		Gold	55424
Venlafaxine 150mg Modified-release capsule (Hillcross Pharmaceuticals Ltd)	Modified-release capsule	Oral	Venlafaxine hydrochloride	150mg	Gold	55501
Venlafaxine 75mg tablets (Teva UK Ltd)	Tablet	Oral	Venlafaxine hydrochloride	75mg	Gold	56457
Venlafaxine 37.5mg tablets (A A H Pharmaceuticals Ltd)	Tablet	Oral	Venlafaxine hydrochloride	37.5mg	Gold	56662
Tonpular XL 150mg capsules (Wockhardt UK Ltd)	Modified-release capsule	Oral	Venlafaxine hydrochloride	150mg	Gold	57751
Venladex XL 75mg tablets (Dexcel-Pharma Ltd)	Modified-release tablet	Oral	Venlafaxine hydrochloride	75mg	Gold	58681
Venladex XL 150mg tablets (Dexcel-Pharma Ltd)	Modified-release tablet	Oral	Venlafaxine hydrochloride	150mg	Gold	58726
Venlafaxine 37.5mg modified-release capsules	Modified-release capsule	Oral	Venlafaxine hydrochloride	37.5mg	Gold	58837
Venlablue XL 37.5mg capsules (Creo Pharma Ltd)	Modified-release capsule	Oral	Venlafaxine hydrochloride	37.5mg	Gold	59035
Venlafaxine 75mg modified-release capsules (Kent Pharmaceuticals Ltd)	Modified-release capsule	Oral	Venlafaxine hydrochloride	75mg	Gold	59563
Sunveniz XL 150mg tablets (Sun Pharmaceuticals UK Ltd)	Modified-release tablet	Oral	Venlafaxine hydrochloride	150mg	Gold	59753
Venlafaxine 37.5mg tablets (Bristol Laboratories Ltd)	Tablet	Oral	Venlafaxine hydrochloride	37.5mg	Gold	59923
Venlafaxine 75mg tablets (A A H Pharmaceuticals Ltd)	Tablet	Oral	Venlafaxine hydrochloride	75mg	Gold	60449
Venlafaxine 150mg modified-release capsules (Kent Pharmaceuticals Ltd)	Modified-release capsule	Oral	Venlafaxine hydrochloride	150mg	Gold	60549
Sunveniz XL 75mg tablets (Sun Pharmaceuticals UK Ltd)	Modified-release tablet	Oral	Venlafaxine hydrochloride	75mg	Gold	60843
Venlafaxine 37.5mg tablets (Teva UK Ltd)	Tablet	Oral	Venlafaxine hydrochloride	37.5mg	Gold	60895
Bonilux XL 150mg capsules (Sandoz Ltd)	Modified-release capsule	Oral	Venlafaxine hydrochloride	150mg	Gold	61236
Venlafaxine 150mg/5ml oral suspension	Oral suspension	Oral	Venlafaxine hydrochloride	30mg/1ml	Gold	62734
Venlafaxine 75mg/5ml oral suspension	Oral suspension	Oral	Venlafaxine hydrochloride	15mg/1ml	Gold	63268
Venlafaxine 75mg tablets (Waymade Healthcare Plc)	Tablet	Oral	Venlafaxine hydrochloride	75mg	Gold	63859
Venlafaxine 225mg modified-release capsules	Modified-release capsule	Oral	Venlafaxine hydrochloride	225mg	Gold	65666
Efexor 37.5mg tablets (Sigma Pharmaceuticals Plc)	Tablet	Oral	Venlafaxine hydrochloride	37.5mg	Gold	65738
Efexor XL 225mg capsules (Pfizer Ltd)	Modified-release capsule	Oral	Venlafaxine hydrochloride	225mg	Gold	65899
Venlafaxine 75mg tablets (DE Pharmaceuticals)	Tablet	Oral	Venlafaxine hydrochloride	75mg	Gold	66437
Efexor 37.5mg tablets (Waymade Healthcare Plc)	Tablet	Oral	Venlafaxine hydrochloride	37.5mg	Gold	67271
Efexor 75mg tablets (Dowelhurst Ltd)	Tablet	Oral	Venlafaxine hydrochloride	75mg	Gold	67288
Vensir XL 225mg capsules (Morningside Healthcare Ltd)	Modified-release capsule	Oral	Venlafaxine hydrochloride	225mg	Gold	67563
Venlafaxine 37.5mg tablets (Alliance Healthcare (Distribution) Ltd)	Tablet	Oral	Venlafaxine hydrochloride	37.5mg	Gold	68050
Venlafaxine 75mg modified-release capsules (Mawdsley-Brooks & Company Ltd)	Modified-release capsule	Oral	Venlafaxine hydrochloride	75mg	Gold	68876
Vencarm XL 37.5mg capsules (Aspire Pharma Ltd)	Modified-release capsule	Oral	Venlafaxine hydrochloride	37.5mg	Gold	69819
Vencarm XL 75mg capsules (Aspire Pharma Ltd)	Modified-release capsule	Oral	Venlafaxine hydrochloride	75mg	Gold	70315
Venlafaxine 37.5mg tablets (DE Pharmaceuticals)	Tablet	Oral	Venlafaxine hydrochloride	37.5mg	Gold	70353
Vencarm XL 150mg capsules (Aspire Pharma Ltd)	Modified-release capsule	Oral	Venlafaxine hydrochloride	150mg	Gold	70420
Vencarm XL 225mg capsules (Aspire Pharma Ltd)	Modified-release capsule	Oral	Venlafaxine hydrochloride	225mg	Gold	70495
Venlafaxine 150mg modified-release capsules (DE Pharmaceuticals)	Modified-release capsule	Oral	Venlafaxine hydrochloride	150mg	Gold	70806
Venlasov XL 75mg capsules (Sovereign Medical Ltd)	Modified-release capsule	Oral	Venlafaxine hydrochloride	75mg	Gold	70931
Venlafaxine 75mg modified-release capsules (DE Pharmaceuticals)	Modified-release capsule	Oral	Venlafaxine hydrochloride	75mg	Gold	71257
Venlafaxine 150mg modified-release capsules (Mawdsley-Brooks & Company Ltd)	Modified-release capsule	Oral	Venlafaxine hydrochloride	150mg	Gold	71782
Amphero XL 75mg capsules (Mylan)	Modified-release capsule	Oral	Venlafaxine hydrochloride	75mg	Gold	71806
Venlasov XL 150mg capsules (Sovereign Medical Ltd)	Modified-release capsule	Oral	Venlafaxine hydrochloride	150mg	Gold	71932
Venlafaxine 75mg tablets (Actavis UK Ltd)	Tablet	Oral	Venlafaxine hydrochloride	75mg	Gold	73658
Venlafaxine 37.5mg tablets (Actavis UK Ltd)	Tablet	Oral	Venlafaxine hydrochloride	37.5mg	Gold	73667
Efexor XL 150mg capsules (Necessity Supplies Ltd)	Modified-release capsule	Oral	Venlafaxine hydrochloride	150mg	Gold	74010
Efexor XL 75mg capsules (Dowelhurst Ltd)	Modified-release capsule	Oral	Venlafaxine hydrochloride	75mg	Gold	74011
Venladex XL 225mg tablets (Dexcel-Pharma Ltd)	Modified-release tablet	Oral	Venlafaxine hydrochloride	225mg	Gold	74516
Venzip XL 75mg capsules (Milpharm Ltd)	Modified-release capsule	Oral	Venlafaxine hydrochloride	75mg	Gold	75263
Venlafaxine 37.5mg tablets (Almus Pharmaceuticals Ltd)	Tablet	Oral	Venlafaxine hydrochloride	37.5mg	Gold	75525
Winfex XL 150mg capsules (Zentiva)	Modified-release capsule	Oral	Venlafaxine hydrochloride	150mg	Gold	75848
Efexor XL 75mg capsules (Lexon (UK) Ltd)	Modified-release capsule	Oral	Venlafaxine hydrochloride	75mg	Gold	75894
Vortioxetine 10mg tablets	Tablet	Oral	Vortioxetine hydrobromide	10.000mg	Aurum	10617041000033113
Brintellix 10mg tablets	Tablet	Oral	Vortioxetine hydrobromide	10.000mg	Aurum	10617341000033110
Brintellix 20mg tablets	Tablet	Oral	Vortioxetine hydrobromide	20.000mg	Aurum	10617441000033116
Vortioxetine 20mg tablets	Tablet	Oral	Vortioxetine hydrobromide	20.000mg	Aurum	10617141000033112
Vortioxetine 5mg tablets	Tablet	Oral	Vortioxetine hydrobromide	5.000mg	Aurum	10616941000033112
Brintellix 5mg tablets	Tablet	Oral	Vortioxetine hydrobromide	5.000mg	Aurum	10617241000033117
Vortioxetine 5mg tablets	Tablet	Oral	Vortioxetine hydrobromide	5mg	Gold	65482
Vortioxetine 10mg tablets	Tablet	Oral	Vortioxetine hydrobromide	10mg	Gold	65483
Vortioxetine 20mg tablets	Tablet	Oral	Vortioxetine hydrobromide	20mg	Gold	66890
Brintellix 10mg tablets (Lundbeck Ltd)	Tablet	Oral	Vortioxetine hydrobromide	10mg	Gold	67874
Brintellix 20mg tablets (Lundbeck Ltd)	Tablet	Oral	Vortioxetine hydrobromide	20mg	Gold	69991
Brintellix 5mg tablets (Lundbeck Ltd)	Tablet	Oral	Vortioxetine hydrobromide	5mg	Gold	69992
