medcode	readcode	readterm	condition	score
105939	Hyu4000	[x]pneumoconiosis due to other dust containing silica	Chronic pulmonary disease	1
105944	BBK3300	[m]mixed cell rhabdomyosarcoma	Any malignancy	2
105953	B561100	secondary and unspec malig neop intercostal lymph nodes	Metastatic solid tumour	4
105955	B62E200	"anaplastic large cell lymphoma, alk-negative"	Any malignancy	2
105976	K0H..00	acute scleroderma renal crisis	Rheumatic disease	1
106003	ByuFC00	[x]carcinoma in situ of oth+unspecified male genital organs	Any malignancy	2
106008	8CMW800	heart failure clinical pathway	Congestive heart failure	1
106058	C372400	urate nephropathy	Renal disease	2
106060	K105.00	chronic infective interstitial nephritis	Renal disease	2
106061	C10FP11	type ii diabetes mellitus with ketoacidotic coma	Diabetes (uncomplicated)	1
106063	B628700	other types of follicular lymphoma	Any malignancy	2
106069	B305.11	malignant neoplasm of carpal bones	Any malignancy	2
106086	ZRq8.11	slam - systemic lupus activity measure	Rheumatic disease	1
106092	9hR1.00	except rheumatoid arthritis qual indicator: informed dissent	Rheumatic disease	1
106093	9hR..00	exception reporting: rheumatoid arthritis quality indicators	Rheumatic disease	1
106096	7A27D00	operation on aneurysm of axillary artery	Peripheral vascular disease	1
106118	9hR0.00	except rheumatoid arthritis quality indicator: pt unsuitable	Rheumatic disease	1
106134	BBdB.00	[m]meningeal sarcomatosis	Any malignancy	2
106137	BBh..00	[m]reticulosarcomas	Any malignancy	2
106194	B231.00	malignant neoplasm of visceral pleura	Any malignancy	2
106198	661M500	heart failure self-management plan agreed	Congestive heart failure	1
1062	B10..00	malignant neoplasm of oesophagus	Any malignancy	2
106213	C372411	uric acid nephropathy	Renal disease	2
106224	9m1..00	peripheral vascular disease monitoring invitation	Peripheral vascular disease	1
106260	9m10.00	peripheral vascular disease monitoring first letter	Peripheral vascular disease	1
106269	9m0..00	diabetic retinopathy screening administrative status	Diabetes (uncomplicated)	1
106311	8CMZ.00	dementia care plan	Dementia	1
106327	9m04.00	excluded from diabetic retinopathy screening	Diabetes (uncomplicated)	1
106328	9m07.00	excluded diabetc retinop screen as under care ophthalmolgist	Diabetes (uncomplicated)	1
106329	9m08.00	excluded from diabetic retinopathy screening as blind	Diabetes (uncomplicated)	1
106330	J140300	acute gastrojejunal ulcer with haemorrhage and perforation	Peptic ulcer disease	1
106332	9m00.00	eligible for diabetic retinopathy screening	Diabetes (uncomplicated)	1
106349	B61z.11	hodgkin lymphoma nos	Any malignancy	2
106350	9m05.00	excluded from diabetic retinopathy screening as moved away	Diabetes (uncomplicated)	1
106352	9m06.00	excluded from diabetic retinopathy screening as deceased	Diabetes (uncomplicated)	1
10636	J624.00	hepatorenal syndrome	Moderate or severe liver disease	3
106360	K27y700	erectile dysfunction due to diabetes mellitus	Diabetes with end-organ damage	2
10642	ZC2C800	dietary advice for diabetes mellitus	Diabetes (uncomplicated)	1
106432	C370900	exacerbation of cystic fibrosis	Chronic pulmonary disease	1
106440	Nyu1000	[x]rheumatoid arthritis+involvement/other organs or systems	Rheumatic disease	1
106445	9m0E.00	excluded from diabetic retinopathy screen physical disorder	Diabetes (uncomplicated)	1
10647	K02..11	nephritis - chronic	Renal disease	2
106488	7A40y00	other specified replacement of aneurysmal iliac artery	Peripheral vascular disease	1
106515	Hyu4300	[x]hypersensitivity pneumonitis due to other organic dusts	Chronic pulmonary disease	1
106519	BB1P.00	[m]non-small cell carcinoma	Any malignancy	2
106528	C10FN11	type ii diabetes mellitus with ketoacidosis	Diabetes (uncomplicated)	1
106545	9m5..00	high risk of heart failure screening invitation	Congestive heart failure	1
106569	B500200	malignant neoplasm of crystalline lens	Any malignancy	2
10659	F464000	diabetic cataract	Diabetes with end-organ damage	2
106597	B61B.00	lymphocyte-rich classical hodgkin lymphoma	Any malignancy	2
106620	SP08J00	chronic rejection of renal transplant	Renal disease	2
106627	8T05.00	referral to dementia service	Dementia	1
106637	9Nk7000	seen in chronic obstructive pulmonary disease clinic	Chronic pulmonary disease	1
106642	A707300	chronic viral hepatitis b	Mild liver disease	1
106650	H583200	eosinophilic bronchitis	Chronic pulmonary disease	1
106654	B524W00	"mal neoplasm/periph nerves+autonomic nervous system,unspc"	Any malignancy	2
106660	9m11.00	peripheral vascular disease monitoring second letter	Peripheral vascular disease	1
106679	8OA3.00	provision of written information about diabetes and driving	Diabetes (uncomplicated)	1
10668	BB5a000	[m]renal cell carcinoma	Any malignancy	2
106680	8HTL000	referral to rapid access heart failure clinic	Congestive heart failure	1
106720	Gy21.00	thrombosis of dialysis arteriovenous fistula	Renal disease	2
106722	9Oy0300	diabetic foot screening invitation second letter	Diabetes (uncomplicated)	1
106723	9Oy0200	diabetic foot screening invitation first letter	Diabetes (uncomplicated)	1
106728	K04E.00	acute kidney injury stage 3	Renal disease	2
106738	9Oy0000	diabetic foot screening invitation	Diabetes (uncomplicated)	1
106778	9m0C.00	excluded frm diabetic retinopathy screen as terminal illness	Diabetes (uncomplicated)	1
106780	7A1B900	endovascular insertion stent for suprarenal aortic aneurysm	Peripheral vascular disease	1
106805	H335.00	chronic asthma with fixed airflow obstruction	Chronic pulmonary disease	1
106812	G383.00	postoperative transmural myocardial infarction unspec site	Myocardial infarction	1
106855	9m12.00	peripheral vascular disease monitoring third letter	Peripheral vascular disease	1
106860	C353600	renal failure-associated hyperphosphataemia	Renal disease	2
106866	SP08W00	vascular complication of renal transplant	Renal disease	2
106867	B62F.11	non-follicular lymphoma	Any malignancy	2
106884	B62F.00	nonfollicular lymphoma	Any malignancy	2
106894	8IE1.00	referral to heart failure exercise programme declined	Congestive heart failure	1
106897	G583.12	heart failure with preserved ejection fraction	Congestive heart failure	1
106911	B613700	"hodgkin's, lymphocytic-histiocytic predominance of spleen"	Any malignancy	2
106915	B073100	malignant neoplasm of nasopharyngeal soft palate surface	Any malignancy	2
10692	C10EM00	type 1 diabetes mellitus with ketoacidosis	Diabetes (uncomplicated)	1
106945	8IEZ.00	chronic obstructive pulmonary disease rescue pack declined	Chronic pulmonary disease	1
106953	8IEa.00	referral to dafne diabetes structured educn prog declined	Diabetes (uncomplicated)	1
106969	B628500	diffuse follicle centre lymphoma	Any malignancy	2
106970	BBk3.00	"[m]malig lymphoma, lymphocytic, well differentiated,nodular"	Any malignancy	2
106975	Gy51.00	haemorrhage of dialysis arteriovenous fistula	Renal disease	2
10698	B450100	malignant neoplasm of vaginal vault	Any malignancy	2
107000	SP08F00	acute rejection of renal transplant - grade ii	Renal disease	2
107027	K0G..00	sickle cell nephropathy	Renal disease	2
107032	B616800	hodgkin's lymphocytic depletion lymph nodes multiple sites	Any malignancy	2
107071	G701011	aras - atherosclerotic renal artery stenosis	Peripheral vascular disease	1
107082	Gy31.00	occlusion of dialysis arteriovenous fistula	Renal disease	2
107112	N040M00	rheumatoid arthritis of ip joint of toe	Rheumatic disease	1
107126	B553200	malignant neoplasm of sacrococcygeal region	Any malignancy	2
107166	B628200	follicular lymphoma grade 3	Any malignancy	2
107167	66Yu.00	number days absent from school due to asthma in past 6 month	Chronic pulmonary disease	1
107183	67P4100	discussion about kidney transplantation	Renal disease	2
107188	G72D.00	aneurysm of dialysis arteriovenous fistula	Renal disease	2
107195	661M700	stroke self-management plan agreed	Cerebrovascular disease	1
10721	SP14300	hepatorenal syndrome as a complication of care	Moderate or severe liver disease	3
107216	Kyu0F00	"[x]hereditary nephropathy, unspecif morphological changes"	Renal disease	2
107220	G72D100	aneurysm of needle site of dialysis arteriovenous fistula	Renal disease	2
107258	B011100	malignant neoplasm of midline of tongue	Any malignancy	2
107260	Gy41.00	infection of dialysis arteriovenous fistula	Renal disease	2
107299	BB5D700	[m]combined hepatocellular carcinoma and cholangiocarcinoma	Any malignancy	2
107340	9mM..00	rheumatoid arthritis monitoring invitation	Rheumatic disease	1
107361	679L200	education about diabetes and driving	Diabetes (uncomplicated)	1
107382	K0J0.00	renal involvement in scleroderma	Rheumatic disease	1
107414	8I94.00	diabetes structured education programme not available	Diabetes (uncomplicated)	1
107423	661N400	diabetes self-management plan review	Diabetes (uncomplicated)	1
107435	9mM0.00	rheumatoid arthritis monitoring invitation first letter	Rheumatic disease	1
107440	G619.00	lobar cerebral haemorrhage	Cerebrovascular disease	1
107452	66o..00	further diabetic monitoring	Diabetes (uncomplicated)	1
107456	4K2M.00	crv smr - hi grade dyskaryosis? invasive squamous carcinoma	Any malignancy	2
107464	66AS000	diabetes year of care annual review	Diabetes (uncomplicated)	1
107508	66AH200	conversion to insulin by diabetes specialist nurse	Diabetes (uncomplicated)	1
10755	F420600	non proliferative diabetic retinopathy	Diabetes with end-organ damage	2
107551	F23y600	choreoathetoid cerebral palsy	Hemiplegia or paraplegia	2
107575	9mM1.00	rheumatoid arthritis monitoring invitation second letter	Rheumatic disease	1
107594	9Nt1000	seen by community hiv (human immunodeficiency virus) nurse	HIV/AIDS	4
107597	9m0D.00	excluded from diabetic retinopthy screen as learn disability	Diabetes (uncomplicated)	1
107603	C10P.00	diabetes mellitus in remission	Diabetes (uncomplicated)	1
107606	9mM3.00	rheumatoid arthritis monitoring verbal invitation	Rheumatic disease	1
107638	B62z400	unspec malig neop lymphoid/histiocytic lymph node axilla/arm	Any malignancy	2
107676	9mM2.00	rheumatoid arthritis monitoring invitation third letter	Rheumatic disease	1
107701	C10FK11	hyperosmolar non-ketotic state in type ii diabetes mellitus	Diabetes (uncomplicated)	1
107719	7A61A00	ligation of arteriovenous dialysis graft	Renal disease	2
107739	679L211	advice about diabetes and driving	Diabetes (uncomplicated)	1
107746	Gy1..00	stenosis of dialysis vascular access	Renal disease	2
107752	SP08T00	urological complication of renal transplant	Renal disease	2
107761	K08y511	ain - acute interstitial nephritis	Renal disease	2
107771	K06..12	kidney failure unspecified	Renal disease	2
107791	N040E00	rheumatoid arthritis of tibio-fibular joint	Rheumatic disease	1
107793	9Oy0400	diabetic foot screening invitation third letter	Diabetes (uncomplicated)	1
107797	9mM4.00	rheumatoid arthritis monitoring telephone invitation	Rheumatic disease	1
107804	B61z300	hodgkin's disease nos of intra-abdominal lymph nodes	Any malignancy	2
107807	AyuC100	[x]hiv disease resulting in other viral infections	HIV/AIDS	4
107814	K032200	focal glomerulon + focal recurr macroscop glomerulonephritis	Renal disease	2
107821	Nyu6500	[x]other specified spondylopathies	Rheumatic disease	1
107824	C10P100	type ii diabetes mellitus in remission	Diabetes (uncomplicated)	1
107844	38Gw.00	gross motor function classification system cerebral palsy	Hemiplegia or paraplegia	2
107877	8IEy.00	chronic obstructive pulmon dis wr self managem plan declined	Chronic pulmonary disease	1
107878	B213200	malignant neoplasm of cuneiform cartilage	Any malignancy	2
107881	K08yA11	clinical diabetic nephropathy	Diabetes with end-organ damage	2
107886	662e.11	stroke annual review	Cerebrovascular disease	1
107896	AyuB200	"[x]chronic viral hepatitis, unspecified"	Mild liver disease	1
107900	SP0E.00	disorders associated with peritoneal dialysis	Renal disease	2
107901	7L1Cy00	placement other apparatus- compensate for renal failure os	Renal disease	2
107916	B201000	malignant neoplasm of auditory (eustachian) tube	Any malignancy	2
10792	662M.00	stroke monitoring	Cerebrovascular disease	1
10794	G656.00	vertebrobasilar insufficiency	Cerebrovascular disease	1
107949	B62E500	hepatosplenic t-cell lymphoma	Any malignancy	2
107958	B836.00	carcinoma in situ other and unspecified male genital organs	Any malignancy	2
107963	N040300	rheumatoid arthritis of sternoclavicular joint	Rheumatic disease	1
10797	G858.00	oesophageal varices nos	Moderate or severe liver disease	3
107973	B628400	follicular lymphoma grade 3b	Any malignancy	2
107975	7609y00	other specified open operation on oesophageal varices	Moderate or severe liver disease	3
107981	8IE0.00	referral to heart failure education group declined	Congestive heart failure	1
107998	G726.00	dissection of renal artery	Peripheral vascular disease	1
108005	C109312	type 2 diabetes mellitus with multiple complications	Diabetes with end-organ damage	2
108007	C108311	type i diabetes mellitus with multiple complications	Diabetes with end-organ damage	2
10802	H37..00	moderate chronic obstructive pulmonary disease	Chronic pulmonary disease	1
108037	B62z000	unspec malig neop lymphoid/histiocytic of unspecified site	Any malignancy	2
108054	A789511	hiv disease resulting in kaposi sarcoma	HIV/AIDS	4
108072	F396100	myopathy due to disseminated lupus erythematosus	Rheumatic disease	1
10809	K021.00	chronic membranous glomerulonephritis	Renal disease	2
108116	Gy3..00	occlusion of dialysis vascular access	Renal disease	2
108182	B627400	diffuse non-hodgkin's small cleaved cell (diffuse) lymphoma	Any malignancy	2
108213	Gy40.00	infection of dialysis arteriovenous graft	Renal disease	2
108235	C333011	waldenstrom macroglobulinaemia	Any malignancy	2
10824	9N1i.00	seen in diabetic foot clinic	Diabetes (uncomplicated)	1
10827	7A44000	percutaneous transluminal angioplasty of iliac artery	Peripheral vascular disease	1
108343	AyuB100	[x]other chronic viral hepatitis	Mild liver disease	1
108360	C10P000	type i diabetes mellitus in remission	Diabetes (uncomplicated)	1
108389	B310500	malignant neoplasm soft tissues of cervical spine	Any malignancy	2
108423	Gy60.00	rupture of dialysis arteriovenous graft	Renal disease	2
108437	SP08V00	very mild acute rejection of renal transplant	Renal disease	2
10851	B51..11	cerebral tumour - malignant	Any malignancy	2
10863	H36..00	mild chronic obstructive pulmonary disease	Chronic pulmonary disease	1
108630	Gyu6E00	"[x]subarachnoid haemorrh from intracranial artery, unspecif"	Cerebrovascular disease	1
108631	8Hle.00	referral to community hiv nurse specialist	HIV/AIDS	4
108634	9NJy.00	in-house diabetic foot screening	Diabetes (uncomplicated)	1
108638	B305A00	malignant neoplasm of third metacarpal bone	Any malignancy	2
10864	B132.00	malignant neoplasm of descending colon	Any malignancy	2
108667	B1z1000	angiosarcoma of spleen	Any malignancy	2
108668	Gyu6000	[x]subarachnoid haemorrhage from other intracranial arteries	Cerebrovascular disease	1
