medcode	readcode	readterm	condition
104815	7A15z00	other emergency bypass of segment of aorta nos	Peripheral vascular disease
104828	F23y100	flaccid infantile cerebral palsy	Paralysis
104862	B62E300	cutaneous t-cell lymphoma	Lymphoma
10487	663j.00	asthma - currently active	Chronic pulmonary disease
104876	G5yyB00	right ventricular diastolic dysfunction	Congestive heart failure
104887	66CS.00	inter risk hlth overwght obesity adv diet phys act cons drug	Obesity
104892	A70D.00	hepatitis c genotype 4	Liver disease
104895	B617.00	nodular lymphocyte predominant hodgkin lymphoma	Lymphoma
104905	SP08D00	acute-on-chronic rejection of renal transplant	Renal disease
104915	H58y700	interstitial lung disease due to connective tissue disease	Chronic pulmonary disease
104934	B62Ew00	other mature t/nk-cell lymphoma	Lymphoma
104939	B64y500	adult t-cell lymphoma/leukaemia (htlv-1-associated)	Lymphoma
104943	P102.11	fissured spine with hydrocephalus	Other neurological disorders
104954	K08y700	acute infective interstitial nephritis	Renal disease
104957	G72A.00	dissection of other specified arteries	Peripheral vascular disease
104960	SP08E00	acute rejection of renal transplant - grade i	Renal disease
104963	K054.00	chronic kidney disease stage 4	Renal disease
104973	BB62z00	[m]apocrine adenoma or adenocarcinoma nos	Solid tumour or leukaemia
104981	K05..13	chronic kidney disease	Renal disease
104985	9NgP.00	on chronic obstructive pulmonary disease supprtv cre pathway	Chronic pulmonary disease
105002	679W100	education about deteriorating heart failure	Congestive heart failure
105020	B628300	follicular lymphoma grade 3a	Lymphoma
105035	F211.00	schilder's disease	Other neurological disorders
105038	B627G00	mediastinal (thymic) large b-cell lymphoma	Lymphoma
10504	G64z300	right sided cerebral infarction	Other neurological disorders
105040	9kl..00	hiv pos gen health check serv declind - enhanc service admin	HIV/AIDS
10506	D01z000	[x]megaloblastic anaemia nos	Deficiency anaemia
105073	BBN2.00	"[m]synovial sarcoma, spindle cell type"	Solid tumour or leukaemia
105083	B62D.00	histiocytic sarcoma	Lymphoma
105085	B62E.00	t/nk-cell lymphoma	Lymphoma
105095	B628100	follicular lymphoma grade 2	Lymphoma
105100	662M100	stroke 6 month review	Other neurological disorders
105117	G728.00	dissection of artery of lower extremity	Peripheral vascular disease
105133	F2B1.00	spastic hemiplegic cerebral palsy	Paralysis
105151	K055.00	chronic kidney disease stage 5	Renal disease
105159	7915z00	revision of plastic repair of valve of heart nos	Valvular disease
105163	329E.00	ecg: left posterior fascicular block	Cardiac arrythmia
105166	BBDB.11	[m]glomoid sarcoma	Solid tumour or leukaemia
105179	7A59200	perc translum balloon assist coil embolisat single aneurysm	Peripheral vascular disease
105180	F1y0.00	fragile x associated tremor ataxia syndrome	Other neurological disorders
105203	B620200	nodular lymphoma of intrathoracic lymph nodes	Lymphoma
105207	8HTE100	referral to community diabetes clinic	Diabetes (uncomplicated)
105240	294E.00	upper limb flaccidity	Paralysis
105274	G28..00	stage 2 hypertension (nice - nat ins for hth clin excl 2011)	Hypertension (uncomplicated)
105275	BBV..13	[m]periosteal osteogenic sarcoma	Solid tumour or leukaemia
105296	BBTD200	"[m]haemangiopericytoma, malignant"	Solid tumour or leukaemia
105302	K08yA00	proteinuric diabetic nephropathy	Diabetes with end-organ damage
105316	G25..11	stage 1 hypertension	Hypertension (uncomplicated)
105317	G734.00	peripheral arterial disease	Peripheral vascular disease
105324	A789800	hiv disease resulting in multiple malignant neoplasms	Solid tumour or leukaemia
105328	7B00212	cadaveric renal transplant	Renal disease
105335	B62A.00	sarcoma of dendritic cells	Lymphoma
105337	C10E811	type i diabetes mellitus - poor control	Diabetes (uncomplicated)
105371	G25..00	stage 1 hypertension (nice - nat ins for hth clin excl 2011)	Hypertension (uncomplicated)
105375	B62E800	blastic nk-cell lymphoma	Lymphoma
10538	Eu11211	[x]drug addiction - opioids	Drug abuse
105383	K052.00	chronic kidney disease stage 2	Renal disease
105388	B498.00	local recurrence of malignant tumour of urinary bladder	Solid tumour or leukaemia
10539	J61z.00	chronic liver disease nos	Liver disease
105392	K051.00	chronic kidney disease stage 1	Renal disease
10541	BB22.00	[m]papillary carcinoma nos	Solid tumour or leukaemia
105420	661N100	asthma self-management plan review	Chronic pulmonary disease
105436	SP0G.00	anaphylactoid reaction due to haemodialysis	Renal disease
105457	8CMW500	chronic obstructive pulmonary disease care pathway	Chronic pulmonary disease
105472	B614700	"hodgkin's disease, nodular sclerosis of spleen"	Lymphoma
105475	B308.00	malignant neoplasm of short bones of leg	Solid tumour or leukaemia
105480	G27..00	hypertension resistant to drug therapy	Hypertension (uncomplicated)
105487	G26..11	severe hypertension	Hypertension (uncomplicated)
105488	B36..00	local recurrence of malignant tumour of breast	Solid tumour or leukaemia
1055	E135.00	agitated depression	Depression
105507	66HB000	rheumatoid arthritis annual review	Rheumatoid arthritis and collagen diseases
105520	8Hd6.00	admission to stroke unit	Other neurological disorders
105542	8CeC.00	preferred place of care for next exacerbation heart failure	Congestive heart failure
105554	8CMW200	atrial fibrillation care pathway	Cardiac arrythmia
105559	B62E100	"anaplastic large cell lymphoma, alk-positive"	Lymphoma
105585	8CMW700	diabetes clinical pathway	Diabetes (uncomplicated)
1056	B5z..00	malignant neoplasm of other and unspecified site nos	Solid tumour or leukaemia
105611	Gyu9400	[x]oesophageal varices in diseases classified elsewhere	Liver disease
105613	B161300	malignant neoplasm of sphincter of oddi	Solid tumour or leukaemia
105621	Gyu7800	[x]aneurysm of aorta in diseases classified elsewhere	Peripheral vascular disease
105626	G141200	rheumatic pulmonary stenosis and insufficiency	Valvular disease
105636	B62E900	angioimmunoblastic t-cell lymphoma	Lymphoma
105638	9hN1.00	excepted from obesity quality indicators: informed dissent	Obesity
105655	7914411	repair of valve of heart nec	Valvular disease
105664	A70B.00	hepatitis c genotype 2	Liver disease
105674	661M100	asthma self-management plan agreed	Chronic pulmonary disease
105688	C36A.00	respiratory acidosis and metabolic alkalosis	Fluid and electrolyte disorders
105709	B62E600	enteropathy-associated t-cell lymphoma	Lymphoma
105723	K000100	crescentic glomerulonephritis	Renal disease
105724	SP08N00	unexplained episode of renal transplant dysfunction	Renal disease
105725	C362900	compensated metabolic acidosis	Fluid and electrolyte disorders
105738	G657.00	carotid territory transient ischaemic attack	Other neurological disorders
105740	2G5d.00	o/e - left diabetic foot at increased risk	Diabetes (uncomplicated)
105741	2G5e.00	o/e - right diabetic foot at increased risk	Diabetes (uncomplicated)
105742	G72D200	aneurysm of anastomotic site of dialysis av fistula	Renal disease
10575	E107z00	schizo-affective schizophrenia nos	Psychoses
105751	K08y513	acute tubulo-interstitial nephritis	Renal disease
105758	8LH..00	liver transplant planned	Liver disease
105760	G72C.00	ruptured aneurysm of dialysis vascular access	Renal disease
105767	P103300	lumbar spina bifida with hydrocephalus - closed	Other neurological disorders
105784	C109912	type 2 diabetes mellitus without complication	Diabetes (uncomplicated)
105787	7B00600	xenograft renal transplant	Renal disease
105797	B304100	malignant neoplasm of acromion	Solid tumour or leukaemia
105811	SP08R00	renal transplant rejection	Renal disease
105841	B618.00	nodular sclerosis classical hodgkin lymphoma	Lymphoma
105859	K0A8.00	rapidly progressive glomerulonephritis	Renal disease
105868	7A5A200	perc trans stent assisted coil embolisation single aneurysm	Peripheral vascular disease
10588	BBK0200	[m]leiomyosarcoma nos	Solid tumour or leukaemia
105889	B628000	follicular lymphoma grade 1	Lymphoma
105917	G727.00	dissection of iliac artery	Peripheral vascular disease
105925	B62E700	subcutaneous panniculitic t-cell lymphoma	Lymphoma
105937	8IEQ.00	referral to community diabetes specialist nurse declined	Diabetes (uncomplicated)
105938	G211z00	benign hypertensive heart disease nos	Hypertension with end-organ damage
105939	Hyu4000	[x]pneumoconiosis due to other dust containing silica	Chronic pulmonary disease
105944	BBK3300	[m]mixed cell rhabdomyosarcoma	Solid tumour or leukaemia
105947	Fyu2000	[x]other drug-induced secondary parkinsonism	Other neurological disorders
105953	B561100	secondary and unspec malig neop intercostal lymph nodes	Metastatic cancer
105955	B62E200	"anaplastic large cell lymphoma, alk-negative"	Lymphoma
105976	K0H..00	acute scleroderma renal crisis	Rheumatoid arthritis and collagen diseases
105989	G26..00	severe hypertension (nat inst for health clinical ex 2011)	Hypertension (uncomplicated)
106003	ByuFC00	[x]carcinoma in situ of oth+unspecified male genital organs	Solid tumour or leukaemia
106008	8CMW800	heart failure clinical pathway	Congestive heart failure
106010	66CP.00	"risk health associ overweight and obesity, at very high risk"	Obesity
106017	A709.00	viral hepatitis without hepatic coma	Liver disease
106025	Jyu7600	"[x]toxic liver disease, unspecified"	Liver disease
106049	Gyu5U00	[x]other and unspecified atrioventricular block	Cardiac arrythmia
106058	C372400	urate nephropathy	Renal disease
106060	K105.00	chronic infective interstitial nephritis	Renal disease
106061	C10FP11	type ii diabetes mellitus with ketoacidotic coma	Diabetes (uncomplicated)
106063	B628700	other types of follicular lymphoma	Lymphoma
106069	B305.11	malignant neoplasm of carpal bones	Solid tumour or leukaemia
106086	ZRq8.11	slam - systemic lupus activity measure	Rheumatoid arthritis and collagen diseases
106092	9hR1.00	except rheumatoid arthritis qual indicator: informed dissent	Rheumatoid arthritis and collagen diseases
106093	9hR..00	exception reporting: rheumatoid arthritis quality indicators	Rheumatoid arthritis and collagen diseases
106096	7A27D00	operation on aneurysm of axillary artery	Peripheral vascular disease
10610	E112.00	single major depressive episode	Depression
106118	9hR0.00	except rheumatoid arthritis quality indicator: pt unsuitable	Rheumatoid arthritis and collagen diseases
106134	BBdB.00	[m]meningeal sarcomatosis	Solid tumour or leukaemia
106137	BBh..00	[m]reticulosarcomas	Lymphoma
106143	1TC3.00	previous history of anti-depressant misuse	Drug abuse
106194	B231.00	malignant neoplasm of visceral pleura	Solid tumour or leukaemia
106198	661M500	heart failure self-management plan agreed	Congestive heart failure
1062	B10..00	malignant neoplasm of oesophagus	Solid tumour or leukaemia
106213	C372411	uric acid nephropathy	Renal disease
106224	9m1..00	peripheral vascular disease monitoring invitation	Peripheral vascular disease
106260	9m10.00	peripheral vascular disease monitoring first letter	Peripheral vascular disease
106269	9m0..00	diabetic retinopathy screening administrative status	Diabetes (uncomplicated)
106279	8IA5.00	trial withdrawal of antihypertensive therapy declined	Hypertension (uncomplicated)
106284	43w7.00	hepatitis a nucleic acid detection	Liver disease
106290	9NdN.00	declined consent for notification of drug misuse	Drug abuse
106311	8CMZ.00	dementia care plan	Other neurological disorders
106327	9m04.00	excluded from diabetic retinopathy screening	Diabetes (uncomplicated)
106328	9m07.00	excluded diabetc retinop screen as under care ophthalmolgist	Diabetes (uncomplicated)
106329	9m08.00	excluded from diabetic retinopathy screening as blind	Diabetes (uncomplicated)
106332	9m00.00	eligible for diabetic retinopathy screening	Diabetes (uncomplicated)
106342	1T12.00	h/o infrequent methadone misuse	Drug abuse
106349	B61z.11	hodgkin lymphoma nos	Lymphoma
106350	9m05.00	excluded from diabetic retinopathy screening as moved away	Diabetes (uncomplicated)
106352	9m06.00	excluded from diabetic retinopathy screening as deceased	Diabetes (uncomplicated)
10636	J624.00	hepatorenal syndrome	Liver disease
106360	K27y700	erectile dysfunction due to diabetes mellitus	Diabetes with end-organ damage
106365	8BAo.00	benzodiazepine dependence detoxification	Drug abuse
106383	7914600	replacement of truncal valve	Valvular disease
10642	ZC2C800	dietary advice for diabetes mellitus	Diabetes (uncomplicated)
106432	C370900	exacerbation of cystic fibrosis	Chronic pulmonary disease
106440	Nyu1000	[x]rheumatoid arthritis+involvement/other organs or systems	Rheumatoid arthritis and collagen diseases
106445	9m0E.00	excluded from diabetic retinopathy screen physical disorder	Diabetes (uncomplicated)
10647	K02..11	nephritis - chronic	Renal disease
106488	7A40y00	other specified replacement of aneurysmal iliac artery	Peripheral vascular disease
106515	Hyu4300	[x]hypersensitivity pneumonitis due to other organic dusts	Chronic pulmonary disease
106519	BB1P.00	[m]non-small cell carcinoma	Solid tumour or leukaemia
106528	C10FN11	type ii diabetes mellitus with ketoacidosis	Diabetes (uncomplicated)
106545	9m5..00	high risk of heart failure screening invitation	Congestive heart failure
106569	B500200	malignant neoplasm of crystalline lens	Solid tumour or leukaemia
106571	F25H.00	generalised seizure	Other neurological disorders
106575	67P4200	discussion about liver transplantation	Liver disease
106579	Pyu0400	[x]unspecified spina bifida with hydrocephalus	Other neurological disorders
10659	F464000	diabetic cataract	Diabetes with end-organ damage
106597	B61B.00	lymphocyte-rich classical hodgkin lymphoma	Lymphoma
106620	SP08J00	chronic rejection of renal transplant	Renal disease
106637	9Nk7000	seen in chronic obstructive pulmonary disease clinic	Chronic pulmonary disease
106642	A707300	chronic viral hepatitis b	Liver disease
106650	H583200	eosinophilic bronchitis	Chronic pulmonary disease
